date,close
2005-12-28,86.81
2005-12-29,86.42
2005-12-30,85.95
2006-01-03,87.46
2006-01-04,87.88
2006-01-05,87.93
2006-01-06,88.66
2006-01-09,88.89
2006-01-10,88.98
2006-01-11,89.26
2006-01-12,88.91
2006-01-13,88.83
2006-01-17,88.59
2006-01-18,88.24
2006-01-19,88.57
2006-01-20,86.96
2006-01-23,87.27
2006-01-24,87.36
2006-01-25,87.44
2006-01-26,87.92
2006-01-27,88.73
2006-01-30,88.66
2006-01-31,88.02
2006-02-01,88.63
2006-02-02,87.6
2006-02-03,87.17
2006-02-06,87.39
2006-02-07,86.62
2006-02-08,87.41
2006-02-09,87.26
2006-02-10,87.42
2006-02-13,87.26
2006-02-14,88.19
2006-02-15,88.5
2006-02-16,89.16
2006-02-17,88.92
2006-02-21,88.7
2006-02-22,89.24
2006-02-23,89.11
2006-02-24,89.33
2006-02-27,89.37
2006-02-28,88.52
2006-03-01,89.31
2006-03-02,89.3
2006-03-03,88.89
2006-03-06,88.48
2006-03-07,88.34
2006-03-08,88.53
2006-03-09,87.93
2006-03-10,88.77
2006-03-13,88.93
2006-03-14,89.87
2006-03-15,90.27
2006-03-16,90.45
2006-03-17,90.53
2006-03-20,90.38
2006-03-21,89.81
2006-03-22,90.36
2006-03-23,90.17
2006-03-24,90.24
2006-03-27,90.11
2006-03-28,89.56
2006-03-29,90.12
2006-03-30,89.96
2006-03-31,89.98
2006-04-03,89.91
2006-04-04,90.49
2006-04-05,90.8
2006-04-06,90.7
2006-04-07,89.78
2006-04-10,89.92
2006-04-11,89.16
2006-04-12,89.32
2006-04-13,89.2
2006-04-17,89.17
2006-04-18,90.58
2006-04-19,90.76
2006-04-20,90.88
2006-04-21,90.9
2006-04-24,90.73
2006-04-25,90.35
2006-04-26,90.38
2006-04-27,90.81
2006-04-28,91.12
2006-05-01,90.38
2006-05-02,91.05
2006-05-03,90.72
2006-05-04,91.04
2006-05-05,91.84
2006-05-08,91.73
2006-05-09,91.91
2006-05-10,91.87
2006-05-11,90.76
2006-05-12,89.57
2006-05-15,89.75
2006-05-16,89.62
2006-05-17,87.92
2006-05-18,87.47
2006-05-19,88.09
2006-05-22,87.42
2006-05-23,86.75
2006-05-24,87.44
2006-05-25,88.52
2006-05-26,88.98
2006-05-30,87.4
2006-05-31,88.37
2006-06-01,89.22
2006-06-02,89.41
2006-06-05,88.1
2006-06-06,87.89
2006-06-07,87.23
2006-06-08,87.15
2006-06-09,86.88
2006-06-12,85.93
2006-06-13,84.93
