date,close
2005-12-28,48.83
2005-12-29,48.94
2005-12-30,48.83
2006-01-03,48.76
2006-01-04,48.88
2006-01-05,48.82
2006-01-06,48.73
2006-01-09,48.76
2006-01-10,48.37
2006-01-11,48.29
2006-01-12,48.62
2006-01-13,48.9
2006-01-17,49.12
2006-01-18,49.1
2006-01-19,48.96
2006-01-20,49.08
2006-01-23,49.07
2006-01-24,48.83
2006-01-25,48.3
2006-01-26,48.09
2006-01-27,48.09
2006-01-30,48.04
2006-01-31,48.18
2006-02-01,48.01
2006-02-02,48.1
2006-02-03,48.44
2006-02-06,48.54
2006-02-07,48.31
2006-02-08,48.2
2006-02-09,48.42
2006-02-10,48.15
2006-02-13,48.15
2006-02-14,47.98
2006-02-15,48.1
2006-02-16,48.11
2006-02-17,48.5
2006-02-21,48.42
2006-02-22,48.75
2006-02-23,48.62
2006-02-24,48.55
2006-02-27,48.47
2006-02-28,48.71
2006-03-01,48.41
2006-03-02,48.08
2006-03-03,47.8
2006-03-06,47.38
2006-03-07,47.41
2006-03-08,47.4
2006-03-09,47.41
2006-03-10,47.24
2006-03-13,47.2
2006-03-14,47.52
2006-03-15,47.26
2006-03-16,47.69
2006-03-17,47.54
2006-03-20,47.62
2006-03-21,47.37
2006-03-22,47.47
2006-03-23,47.32
2006-03-24,47.67
2006-03-27,47.49
2006-03-28,47.05
2006-03-29,46.83
2006-03-30,46.5
2006-03-31,46.48
2006-04-03,46.5
2006-04-04,46.45
2006-04-05,46.51
2006-04-06,46.16
2006-04-07,45.71
2006-04-10,45.79
2006-04-11,45.96
2006-04-12,45.68
2006-04-13,45.35
2006-04-17,45.52
2006-04-18,45.6
2006-04-19,45.32
2006-04-20,45.28
2006-04-21,45.55
2006-04-24,45.73
2006-04-25,45.19
2006-04-26,45.11
2006-04-27,45.17
2006-04-28,45.2
2006-05-01,44.86
2006-05-02,44.98
2006-05-03,44.89
2006-05-04,44.81
2006-05-05,45.08
2006-05-08,45.11
2006-05-09,45.08
2006-05-10,45.16
2006-05-11,44.94
2006-05-12,44.57
2006-05-15,44.75
2006-05-16,45.08
2006-05-17,44.8
2006-05-18,45.41
2006-05-19,45.53
2006-05-22,45.62
2006-05-23,45.6
2006-05-24,45.62
2006-05-25,45.44
2006-05-26,45.41
2006-05-30,45.39
2006-05-31,45.12
2006-06-01,45.32
2006-06-02,45.9
2006-06-05,45.84
2006-06-06,46.06
2006-06-07,46.07
2006-06-08,46.16
2006-06-09,46.41
2006-06-12,46.44
2006-06-13,46.48
2006-06-14,46.01
2006-06-15,45.75
2006-06-16,45.64
2006-06-19,45.58
2006-06-20,45.5
2006-06-21,45.51
2006-06-22,45.25
2006-06-23,45.16
2006-06-26,45.08
2006-06-27,45.3
2006-06-28,45.06
2006-06-29,45.21
2006-06-30,45.65
2006-07-03,45.6
2006-07-05,45.24
2006-07-06,45.52
2006-07-07,45.81
2006-07-10,45.85
2006-07-11,46.0
2006-07-12,46.01
2006-07-13,46.19
2006-07-14,46.22
2006-07-17,46.29
2006-07-18,45.89
2006-07-19,46.33
2006-07-20,46.46
2006-07-21,46.38
2006-07-24,46.35
2006-07-25,46.21
2006-07-26,46.38
2006-07-27,46.31
2006-07-28,46.58
2006-07-31,46.64
2006-08-01,46.63
